order,station,post,lat,long,lat
182,新御徒町,111-0041,台東区元浅草１-５-２,139.781958,35.707045
183,浅草,111-0043,東京都台東区駒形一丁目12-14,139.79697,35.709461
184,蔵前,111-0051,台東区蔵前２-３-１,139.790931,35.703236
185,蔵前,111-0051,台東区蔵前２-３-１,139.790931,35.703236
186,浅草橋,111-0053,台東区浅草橋１丁目,139.784427,35.697403
187,浅草橋,111-0053,台東区浅草橋１丁目,139.786305,35.697451
188,白山,112-0001,文京区白山５-３６-１０,139.752136,35.721408
189,後楽園,112-0003,文京区春日１-２-３,139.751864,35.707898
190,後楽園,112-0003,文京区春日１-２-３,139.751864,35.707898
191,春日,112-0003,文京区春日１-１６-１７,139.75325,35.709598
192,春日,112-0003,文京区春日１-１６-１７,139.75325,35.709598
193,飯田橋,112-0004,東京都文京区後楽一丁目9-5,139.744999,35.702927
194,茗荷谷,112-0006,文京区小日向４-６-１５,139.737184,35.716989
195,千石,112-0011,文京区千石１-２９-１３,139.744792,35.727957
196,新大塚,112-0012,文京区大塚４-５１-５,139.729971,35.72569
197,護国寺,112-0012,東京都文京区大塚五丁目40-8,139.72754,35.719044
198,江戸川橋,112-0014,東京都文京区関口一丁目19-6,139.733538,35.709495
199,千駄木,113-0022,文京区千駄木２丁目,139.763243,35.725549
200,本駒込,113-0023,文京区向丘２-３７-１,139.753828,35.724155
201,東大前,113-0023,文京区向丘１-１９-２,139.758025,35.717633
202,根津,113-0031,文京区根津１丁目,139.765655,35.7174
203,本郷三丁目,113-0033,文京区本郷２-３９-１,139.759914,35.706671
204,本郷三丁目,113-0033,文京区本郷２-３９-１,139.760095,35.707462
205,湯島,113-0034,文京区湯島３丁目,139.769916,35.708243
206,東十条,114-0001,北区東十条３丁目,139.726858,35.763803
207,王子,114-0002,北区王子１丁目,139.73809,35.752538
208,王子神谷,114-0002,北区王子５-２-１１,139.735933,35.765172
209,王子,114-0002,北区王子１丁目,139.737618,35.753966
210,王子駅前,114-0002,北区王子１,139.737661,35.753199
211,梶原,114-0004,北区堀船３,139.747403,35.751162
212,栄町,114-0005,北区栄町,139.742124,35.750909
213,尾久,114-0011,北区昭和町１丁目,139.753846,35.74683
214,尾久,114-0011,北区昭和町１丁目,139.753846,35.74683
